project_id,company_name,company_tier,year,quarter,country,state,city,location_region,client_name,client_industry,sector,subsector,project_type,delivery_method,project_status,award_date,start_date,end_date,duration_months,contract_value_total,recognized_revenue_year,backlog_begin,backlog_end,total_cost,labor_cost_total,material_cost_total,equipment_cost_total,subcontractor_cost_total,overhead_cost_total,sgna_cost,contingency_cost,headcount_total,headcount_field,headcount_office,avg_hourly_rate_field,avg_hourly_rate_office,labor_hours_total,gross_margin,gross_margin_pct,ebitda,ebitda_margin_pct,operating_income,operating_margin_pct,num_competitors_bid,joint_venture_flag,company_share_in_jv_pct,currency
P0011,Quanta services,tier_1,2018,2,USA,IL,Chicago,Midwest,Local Univ.,Private,Healthcare,Clinics,New Build,Lump Sum,In Progress,2018-10-16,2018-11-12,2019-05-11,6,17555516,9276176.99,6421697.81,8279339.01,14971044.14,5372365.42,5721039.03,642932.65,2017144.3,574972.16,479766.49,162824.09,113,86,27,32.2,68.6,166843,2584471.86,0.1472,2104705.37,0.1199,1940002.23,0.1105,3,0,1.0,USD
P0012,Quanta Services,tier_1,2020,4,USA,TX,Dallas,South,Amazon Web Services,Private,Data Centers,Hyperscale,Maintenance,EPC,Completed,2020-06-24,2020-08-04,2022-08-24,25,109522707,109522707.0,0.0,0.0,102294497.43,35209148.84,31717511.48,5960947.76,18677306.88,6992383.97,2493717.48,1243481.01,10,6,4,35.4,74.29,994608,7228209.57,0.066,4734492.09,0.0432,3883850.89,0.0355,2,1,0.73,USD
P0013,Quanta services,tier_1,2024,2,USA,IL,Chicago,Midwest,Meta Platforms,Private,Industrial,Warehouse,New Build,EPC,Completed,2024-03-16,2024-05-25,2025-01-20,8,43424865,43424865.0,0.0,0.0,37468078.43,9844096.3,13231457.67,3328706.99,7695738.36,1372043.14,1334631.83,661404.13,55,43,12,54.99,54.22,179016,5956786.57,0.1372,4622154.75,0.1064,4115415.49,0.0948,5,0,1.0,USD
P0014,MasTec,tier_1,2018,1,Canada,ON,Toronto,Canada,Small municipal authority,Private,Industrial,Warehouse,Maintenance,Design-Build,Completed,2018-05-08,2018-06-26,2019-03-23,9,3886060,3886060.0,0.0,0.0,3679948.92,1344498.73,1034524.91,286046.42,644539.29,151157.43,172920.34,46261.79,111,90,21,37.8,63.1,35568,206111.08,0.053,33190.75,0.0085,1900.55,0.0005,4,1,0.57,USD
P0015,MAS-TEC,tier_1,2020,3,USA,NY,New York,Northeast,Kaiser Permanente,Private,Healthcare,Labs,Design-Build,EPC,Awarded,2020-05-13,2020-06-19,2022-04-10,22,34942233,21223992.11,11580212.04,13718240.89,32333697.57,13068586.99,10126956.37,1237658.34,4313841.45,2066546.64,1027662.23,492445.53,42,25,17,43.34,58.2,301536,2608535.43,0.0747,1580873.2,0.0452,1227459.4,0.0351,5,0,1.0,USD
P0016,MasTec,tier_1,2022,3,USA,CA,San Jose,West,Amazon Web Services,Private,Infrastructure,Energy,Maintenance,Lump Sum,Completed,2022-09-17,2022-11-10,2024-11-29,25,115143076,115143076.0,0.0,0.0,97112015.28,32855255.23,35735811.75,5156424.75,10677076.95,5390751.65,5551152.49,1745542.45,88,65,23,42.56,69.18,771974,18031060.72,0.1566,12479908.23,0.1084,10864674.78,0.0944,3,1,0.53,USD
P0017,MasTec.,tier_1,2023,2,USA,NY,New York,Northeast,US General Services Administration,Public,Industrial,Warehouse,Expansion,Cost-Plus,Completed,2023-05-26,2023-08-14,2025-09-02,25,20475592,20475592.0,0.0,0.0,19231121.51,6578204.44,6148374.69,1452153.01,3176047.16,1165303.35,547501.36,163537.51,41,34,7,47.89,66.9,137360,1244470.49,0.0608,696969.13,0.034,589589.92,0.0288,4,1,0.93,USD
P0018,Mastec,tier_1,2022,4,USA,TX,Dallas,South,U.S. G.S.A.,Public,Industrial,Warehouse,New Build,Lump Sum,In Progress,2022-04-01,2022-07-27,2024-09-14,26,18987850,9537100.35,8860171.38,9450749.65,16614638.07,5750911.65,4889993.37,806222.48,3129836.33,916324.65,836272.35,285077.24,66,49,17,50.7,57.67,113430,2373211.93,0.125,1536939.59,0.0809,1254420.8,0.0661,5,1,0.94,USD
P0019,MasTec.,tier_1,2023,4,USA,VA,Ashburn,South,Dominion Energy.,Private,Infrastructure,Energy,Expansion,Cost-Plus,In Progress,2023-02-09,2023-05-26,2024-06-19,13,63865491,37844521.86,20367142.01,26020969.14,50799989.41,16446575.62,19183732.92,4767644.59,5623852.45,2301279.69,2011191.93,465712.21,69,48,21,37.38,54.71,439983,13065501.59,0.2046,11054309.66,0.1731,10598340.15,0.1659,5,0,1.0,USD
P0020,COMFORT SYSTEMS U.S.A.,tier_1,2016,1,USA,TX,Dallas,South,Kaiser Permanente,Private,Healthcare,Clinics,Design-Build,Cost-Plus,In Progress,2016-05-19,2016-07-28,2018-02-18,19,20541731,16156416.0,3501696.24,4385315.0,16166138.41,4614576.03,6171135.15,1313789.43,2473874.91,751864.11,698864.7,142034.09,82,62,20,34.18,55.0,135008,4375592.59,0.213,3676727.89,0.179,3446196.88,0.1678,4,0,1.0,USD
P0021,Comfort Sys USA,tier_1,2020,2,Canada,ON,Toronto,Canada,NYC Health + Hospitals,Private,Healthcare,Clinics,Maintenance,Design-Build,In Progress,2020-08-03,2020-09-19,2023-03-08,30,26367633,11150434.24,14264646.75,15217198.76,21705715.72,6146427.02,6668571.96,1502189.16,4745930.91,1160134.03,1041635.49,440827.16,35,28,7,48.15,48.35,127651,4661917.28,0.1768,3620281.8,0.1373,3316591.35,0.1258,4,0,1.0,USD
P0022,"Comfort Systems USA, Inc.",tier_1,2023,3,USA,CA,San Jose,West,Commercial REIT Client,Private,Infrastructure,Transportation,Design-Build,Lump Sum,Awarded,2023-02-25,2023-05-25,2023-09-22,4,4562436,3095956.42,1282140.53,1466479.58,4587135.41,1681814.04,1534664.36,344013.64,536226.28,308689.05,118394.73,63333.31,48,39,9,47.61,44.24,35324,-24699.41,-0.0054,-143094.14,-0.0314,-203800.61,-0.0447,5,0,1.0,USD
P0023,Comfort Sys USA,tier_1,2024,1,Canada,ON,Toronto,Canada,NYC Health + Hospitals,Private,Commercial,Hospitality,Maintenance,Lump Sum,In Progress,2024-09-07,2024-10-05,2026-02-27,17,43076067,17053831.75,21716680.17,26022235.25,45236136.09,16098646.68,14875792.74,3077154.59,6492892.81,2042644.95,1809791.81,839212.5,71,50,21,53.47,60.74,301078,-2160069.09,-0.0501,-3969860.9,-0.0922,-4301582.11,-0.0999,3,0,1.0,USD
P0024,Comfort Systems USA,tier_1,2020,1,USA,NY,New York,Northeast,small municipal client,Private,Healthcare,Labs,Design-Build,Design-Build,In Progress,2020-09-10,2020-11-05,2021-08-02,9,4155614,2927512.83,933773.23,1228101.17,3597521.23,1238406.17,1260080.84,178349.06,448664.39,223764.02,192833.87,55422.86,62,44,18,51.71,64.17,23949,558092.77,0.1343,365258.9,0.0879,323011.79,0.0777,6,1,0.67,USD
P0025,Comfort Systems USA,tier_1,2017,2,USA,IL,Chicago,Midwest,Dominion Energy,Private,Industrial,Process,Design-Build,EPC,In Progress,2017-09-29,2017-11-27,2019-04-21,17,29403766,12601262.32,15756033.5,16802503.68,28521202.66,11157583.46,9778465.58,1399340.7,3686483.23,1242747.81,791435.92,465145.97,98,63,35,37.63,56.95,296507,882563.34,0.03,91127.42,0.0031,-148674.39,-0.0051,6,1,0.99,USD
P0026,Comfort systems usa,tier_1,2020,2,USA,NY,New York,Northeast,Duke Energy,Private,Infrastructure,Transportation,Design-Build,Cost-Plus,In Progress,2020-01-28,2020-04-22,2021-05-17,13,38457269,27220753.57,8009884.62,11236515.43,35273441.94,12751922.11,10342771.91,2823650.36,4964366.92,2496214.77,1431453.64,463062.21,120,86,34,53.38,54.02,238889,3183827.06,0.0828,1752373.42,0.0456,1390694.81,0.0362,1,0,1.0,USD
P0027,COMFORT SYSTEMS U.S.A.,tier_1,2018,3,Canada,ON,Toronto,Canada,Regional School District,Public,Infrastructure,Transportation,Retrofit,Lump Sum,Completed,2018-08-02,2018-11-02,2020-09-22,23,9316914,9316914.0,0.0,0.0,8617362.7,3228483.37,2644634.65,522945.59,1165093.57,444499.16,426761.25,184945.11,89,54,35,56.96,43.47,56679,699551.3,0.0751,272790.06,0.0293,197753.47,0.0212,2,0,1.0,USD
P0028,AECOM Building Services.,tier_1,2018,1,USA,GA,Atlanta,South,Duke Energy,Private,Commercial,Office,New Build,Design-Build,In Progress,2018-11-01,2019-01-15,2020-02-09,13,26297880,13283196.08,11725923.33,13014683.92,20968691.57,5922871.04,7710952.17,1160681.09,4364413.87,863811.47,710114.14,235847.79,35,24,11,46.16,62.67,128311,5329188.43,0.2026,4619074.3,0.1756,4279503.51,0.1627,3,0,1.0,USD
P0029,AECOM Bldg Svs,tier_1,2016,2,USA,NY,New York,Northeast,Microsoft Data Center.,Private,Data Centers,Enterprise,Design-Build,EPC,In Progress,2016-08-27,2016-12-08,2018-01-02,13,84447142,56986286.7,19849577.32,27460855.3,82222456.7,28032852.82,33052732.65,4646586.51,10925730.86,2805137.64,1789926.72,969489.5,96,77,19,46.96,73.28,596951,2224685.3,0.0263,434758.58,0.0051,-259668.49,-0.0031,6,1,0.75,USD
P0030,AECOM Building Services.,tier_1,2023,4,Canada,ON,Toronto,Canada,Texas DOT,Public,Infrastructure,Transportation,Design-Build,Design-Build,Completed,2023-09-09,2023-10-05,2025-04-27,19,48393588,48393588.0,0.0,0.0,43470781.07,13340842.8,14517895.36,3073315.89,8022365.24,2090222.94,1974952.5,451186.34,114,90,24,32.95,43.08,404881,4922806.93,0.1017,2947854.43,0.0609,2248473.42,0.0465,3,1,0.47,USD
P0031,Aecom building services,tier_1,2024,1,USA,IL,Chicago,Midwest,Midwest Manufacturing Co.,Private,Data Centers,Colocation,Expansion,Lump Sum,Awarded,2024-07-04,2024-10-06,2027-01-24,28,19798026,15552641.81,3640440.58,4245384.19,16579764.91,5934634.42,6262237.25,645031.34,2112560.71,697692.91,567032.78,360575.49,112,73,39,36.12,59.28,164303,3218261.09,0.1626,2651228.31,0.1339,2456274.81,0.1241,5,1,0.46,USD
P0032,AECOM Building Services.,tier_1,2023,4,Canada,ON,Toronto,Canada,Amazon Web Services,Private,Industrial,Process,Maintenance,EPC,In Progress,2023-09-05,2023-11-19,2024-10-14,11,86532420,32258750.54,42603137.77,54273669.46,72189196.55,25361426.63,23510537.93,3420671.43,12109153.01,5179112.6,2085020.32,523274.63,110,79,31,53.33,49.9,475556,14343223.45,0.1658,12258203.12,0.1417,11156926.53,0.1289,3,1,0.92,USD
P0033,jacobs mission critical,tier_1,2021,4,USA,GA,Atlanta,South,Kaiser Permanente,Private,Data Centers,Colocation,Expansion,EPC,Awarded,2021-05-03,2021-07-30,2022-11-22,16,31180531,12148752.56,17988923.28,19031778.44,28801366.26,8024932.99,11422416.03,1003463.23,4816472.69,1814991.12,1382615.43,336474.76,73,61,12,35.28,73.79,227464,2379164.74,0.0763,996549.31,0.032,633704.95,0.0203,3,0,1.0,USD
P0034,jacobs mission critical,tier_1,2017,1,USA,TX,Dallas,South,Texas - Department of Transportation,Public,Commercial,Hospitality,Retrofit,Design-Build,Completed,2017-02-08,2017-04-24,2019-09-11,29,64447384,64447384.0,0.0,0.0,65285628.29,24172446.65,19384753.88,4165571.48,9343817.95,4129183.31,2936882.76,1152972.26,50,37,13,55.07,57.08,438940,-838244.29,-0.013,-3775127.06,-0.0586,-4342270.09,-0.0674,5,0,1.0,USD
P0035,Jacobs Mission Critical.,tier_1,2019,4,Canada,ON,Toronto,Canada,Univ. (local),Private,Infrastructure,Transportation,New Build,Design-Build,Awarded,2019-11-21,2020-03-05,2020-10-01,7,18372391,9818515.16,7197932.68,8553875.84,16647745.83,5346155.75,6505666.86,1381074.74,1554287.69,1136254.09,529143.84,195162.86,111,71,40,36.55,61.33,146269,1724645.17,0.0939,1195501.33,0.0651,1076894.72,0.0586,4,0,1.0,USD
P0036,Jacobs Mission Critical.,tier_1,2025,4,USA,CA,San Jose,West,Microsoft Data Center,Private,Infrastructure,Water/Wastewater,Maintenance,Lump Sum,In Progress,2025-12-13,2026-03-07,2026-12-02,9,42414133,12737524.74,27104651.31,29676608.26,39612440.49,9832355.41,16617235.74,3366943.51,4661967.45,2904569.15,1726654.13,502715.09,23,15,8,46.87,60.12,209779,2801692.51,0.0661,1075038.38,0.0253,734825.43,0.0173,6,1,0.41,USD
P0037,JACOBS mission critical,tier_1,2020,2,USA,IL,Chicago,Midwest,Meta Platforms,Private,Commercial,Hospitality,Expansion,EPC,Awarded,2020-06-29,2020-08-11,2022-08-01,24,97911482,76399224.28,19299778.4,21512257.72,83257669.88,24519102.82,28158756.71,6636329.24,15347338.65,5603885.71,2359997.38,632259.38,14,10,4,51.04,43.15,480389,14653812.12,0.1497,12293814.74,0.1256,11189903.8,0.1143,3,1,0.85,USD
P0038,Jacobs Mission Critical.,tier_1,2019,4,USA,CA,San Jose,West,Microsoft Data Center,Private,Infrastructure,Energy,Design-Build,EPC,Awarded,2019-09-04,2019-12-31,2021-01-24,13,83988460,26038848.07,54577954.97,57949611.93,80194868.79,28509840.43,25264340.88,3003300.12,14806269.28,2992532.4,4115015.13,1503570.56,112,82,30,34.35,53.81,829980,3793591.21,0.0452,-321423.92,-0.0038,-1349624.68,-0.0161,3,0,1.0,USD
P0039,Jacobs Mission Critical,tier_1,2021,2,USA,GA,Atlanta,South,Local University,Private,Infrastructure,Energy,Expansion,EPC,Awarded,2021-04-30,2021-07-14,2021-11-11,4,19729243,9378893.0,7547154.2,10350350.0,19826777.05,6296143.97,7723512.71,915443.07,2781985.43,1102984.94,770666.01,236040.92,15,12,3,39.91,57.24,157758,-97534.05,-0.0049,-868200.06,-0.044,-1105163.5,-0.056,1,0,1.0,USD
P0040,Jacobs Mission Critical.,tier_1,2022,2,USA,GA,Atlanta,South,U.S. G.S.A.,Public,Data Centers,Colocation,Design-Build,Cost-Plus,In Progress,2022-02-20,2022-05-08,2024-03-28,23,17985403,8222204.45,8163171.06,9763198.55,16920654.77,5131209.25,7063375.46,568982.87,2105245.3,858539.03,872591.59,320711.26,92,63,29,42.35,46.64,121161,1064748.23,0.0592,192156.63,0.0107,84360.29,0.0047,1,1,0.46,USD
P0041,Fluor Services,tier_1,2016,3,USA,TX,Dallas,South,Regional School District,Public,Industrial,Warehouse,Retrofit,Lump Sum,Completed,2016-10-27,2016-12-08,2019-05-27,30,6335619,6335619.0,0.0,0.0,6011881.16,2275445.6,1896148.97,236810.92,1077391.67,190787.17,289868.4,45428.41,42,33,9,34.86,70.33,65273,323737.84,0.0511,33869.44,0.0053,-6044.46,-0.001,2,0,1.0,USD
P0042,Fluor Srvs,tier_1,2019,4,USA,VA,Ashburn,South,City of Chicago Water,Public,Industrial,Process,New Build,Cost-Plus,Completed,2019-09-27,2019-10-26,2022-01-13,27,13094286,13094286.0,0.0,0.0,10787497.46,3013902.46,4154048.08,629860.67,1824906.14,629576.11,348916.8,186287.2,120,91,29,39.84,62.52,75650,2306788.54,0.1762,1957871.74,0.1495,1797173.03,0.1372,1,0,1.0,USD
P0043,Fluor Services,tier_1,2022,4,USA,CA,San Jose,West,NYC Health + Hospitals,Private,Healthcare,Labs,Expansion,Lump Sum,Awarded,2022-11-08,2022-12-11,2023-06-09,6,44304874,25913935.74,16520102.11,18390938.26,39294134.09,10641616.67,15225264.69,2625871.66,6699573.91,2004183.08,1680118.61,417505.48,24,19,5,48.92,66.91,217531,5010739.91,0.1131,3330621.3,0.0752,2885113.17,0.0651,6,0,1.0,USD
P0044,Fluor services,tier_1,2023,4,USA,NY,New York,Northeast,Small Municipal Client,Private,Infrastructure,Water/Wastewater,Expansion,Design-Build,Completed,2023-06-10,2023-08-18,2024-10-11,14,2599455,2599455.0,0.0,0.0,2408472.53,848506.97,795810.55,97822.55,447882.21,84964.05,116853.71,16632.49,104,72,32,35.38,42.1,23982,190982.47,0.0735,74128.77,0.0285,58621.34,0.0226,5,1,0.8,USD
P0045,Fluor-Services,tier_1,2021,3,USA,CA,San Jose,West,MIDWEST MANUFACTURING CO.,Private,Healthcare,Labs,New Build,EPC,Completed,2021-06-30,2021-07-28,2023-05-19,22,14310788,14310788.0,0.0,0.0,12602771.01,4310209.1,3909843.61,774349.15,2357380.11,629739.93,525033.68,96215.43,38,30,8,53.97,74.11,79863,1708016.99,0.1194,1182983.31,0.0827,1071564.06,0.0749,5,0,1.0,USD
P0046,ABM technical solutions,tier_1,2018,1,Canada,ON,Toronto,Canada,Dominion Energy,Private,Infrastructure,Water/Wastewater,Maintenance,Lump Sum,Awarded,2018-03-15,2018-06-10,2020-06-29,25,60675420,37313772.6,20567570.82,23361647.4,48402417.61,17239433.74,16460100.63,3741161.49,5040046.83,3631088.38,1605106.74,685479.79,109,91,18,47.5,70.92,362935,12273002.39,0.2023,10667895.65,0.1758,10157678.49,0.1674,2,0,1.0,USD
P0047,ABM technical solutions,tier_1,2017,4,USA,CA,San Jose,West,Dominion Energy,Private,Healthcare,Clinics,Design-Build,Design-Build,In Progress,2017-04-21,2017-08-10,2019-04-02,20,43802343,21915955.73,15362531.72,21886387.27,36788245.02,10434191.22,13775269.41,1934413.24,6476116.21,2166696.48,1752705.93,248852.52,48,40,8,51.95,66.75,200850,7014097.98,0.1601,5261392.04,0.1201,4869245.7,0.1112,3,1,0.47,USD
P0048,ABM technical solutions,tier_1,2022,2,USA,VA,Ashburn,South,Microsoft Data Center,Private,Data Centers,Enterprise,Retrofit,EPC,Awarded,2022-01-22,2022-04-02,2022-07-31,4,34688927,10992926.33,17605377.22,23696000.67,28394462.51,10183305.0,9077377.32,1583654.68,4264255.29,1601827.65,1359953.37,324089.21,89,63,26,49.93,52.66,203951,6294464.49,0.1815,4934511.12,0.1423,4620565.12,0.1332,4,0,1.0,USD
P0049,ABM technical solutions,tier_1,2022,4,USA,CA,San Jose,West,City of Chicago Water,Public,Commercial,Retail,Maintenance,EPC,Awarded,2022-03-28,2022-04-21,2023-12-12,20,15011245,11237384.02,2883199.8,3773860.98,14346202.0,4823352.4,4947567.09,595874.15,2366114.81,661155.12,731748.66,220389.76,32,24,8,51.77,62.94,93168,665043.0,0.0443,-66705.67,-0.0044,-163931.97,-0.0109,2,1,0.68,USD
P0050,ABM TECHNICAL SOLUTIONS.,tier_1,2025,4,USA,NY,New York,Northeast,Univ. (local),Private,Data Centers,Colocation,Maintenance,Cost-Plus,In Progress,2025-08-29,2025-11-08,2027-10-29,24,17341264,13207704.93,3786598.49,4133559.07,13960093.74,4655284.34,5049794.29,568942.7,2267087.41,735552.5,581928.01,101504.5,119,74,45,47.45,53.46,98109,3381170.26,0.195,2799242.25,0.1614,2568309.22,0.1481,5,0,1.0,USD
P0051,IES Hldgs,tier_1,2021,4,USA,GA,Atlanta,South,City of Chicago - Water,Public,Industrial,Manufacturing,Expansion,Lump Sum,In Progress,2021-02-13,2021-05-03,2023-04-23,24,16890725,10060374.26,5359037.09,6830350.74,13459647.25,4182302.72,4850366.92,876424.48,2093473.26,859905.48,418254.66,178919.73,86,52,34,48.4,51.71,86411,3431077.75,0.2031,3012823.09,0.1784,2880586.69,0.1705,3,0,1.0,USD
P0052,I.E.S. Holdings,tier_1,2020,4,USA,GA,Atlanta,South,Dominion Energy,Private,Data Centers,Hyperscale,Maintenance,Lump Sum,Completed,2020-03-13,2020-05-11,2021-06-05,13,62042687,62042687.0,0.0,0.0,63665921.72,23255549.79,22011007.81,3077186.94,8655210.63,4189127.68,1817072.5,660766.38,114,72,42,50.27,73.15,462612,-1623234.72,-0.0262,-3440307.23,-0.0555,-4241689.01,-0.0684,6,0,1.0,USD
P0053,IES Holdings,tier_1,2024,4,USA,TX,Dallas,South,Kaiser Permanente,Private,Infrastructure,Transportation,Retrofit,EPC,In Progress,2024-04-25,2024-05-27,2025-01-22,8,8765682,3653941.21,3745690.73,5111740.79,8034945.4,2036674.77,3301719.11,307298.85,1376978.83,555786.25,407695.95,48791.65,58,37,21,36.7,64.25,55495,730736.6,0.0834,323040.65,0.0369,249692.55,0.0285,5,0,1.0,USD
P0054,IES Holdings,tier_1,2016,2,Canada,ON,Toronto,Canada,NYC Health + Hospitals,Private,Industrial,Process,Design-Build,EPC,Completed,2016-08-17,2016-09-30,2018-06-22,21,28214970,28214970.0,0.0,0.0,27774493.23,7286994.52,11140384.52,1952998.24,4807758.48,1065415.52,1138451.6,382490.34,108,72,36,41.93,58.46,173789,440476.77,0.0156,-697974.83,-0.0247,-963364.1,-0.0341,2,0,1.0,USD
P0055,IES Hldgs,tier_1,2020,3,USA,NY,New York,Northeast,Meta Platforms,Private,Infrastructure,Energy,New Build,Lump Sum,In Progress,2020-03-23,2020-05-11,2021-11-02,18,106941484,82705501.93,20006846.31,24235982.07,101180052.43,39017492.79,29099023.59,5547442.76,18676402.6,4158047.48,3586158.58,1095484.63,40,27,13,34.12,47.86,1143537,5761431.57,0.0539,2175272.98,0.0203,1612044.07,0.0151,3,0,1.0,USD
P0056,IES holdings,tier_1,2018,2,USA,IL,Chicago,Midwest,Microsoft Data Center,Private,Healthcare,Labs,Retrofit,Design-Build,In Progress,2018-01-03,2018-01-28,2018-05-28,4,27872739,21632737.27,5022929.24,6240001.73,25925102.76,7273330.72,10459091.03,1601016.04,4256821.66,1424599.67,650427.25,259816.4,111,83,28,33.63,69.28,216275,1947636.24,0.0699,1297208.99,0.0465,1073906.2,0.0385,4,0,1.0,USD
P0057,TD Industries,tier_1,2020,3,USA,GA,Atlanta,South,NYC HEALTH + HOSPITALS,Private,Infrastructure,Transportation,Design-Build,Design-Build,Awarded,2020-12-08,2021-01-02,2022-08-25,20,10078216,4859359.03,4933175.99,5218856.97,9475004.37,3788852.08,2621867.03,567433.52,1317553.09,700771.21,369110.21,109417.24,42,33,9,41.28,42.36,91784,603211.63,0.0599,234101.42,0.0232,136329.11,0.0135,2,0,1.0,USD
P0058,TD-Industries,tier_1,2018,2,USA,VA,Ashburn,South,Meta Platforms,Private,Infrastructure,Energy,Retrofit,Design-Build,Completed,2018-11-20,2018-12-28,2021-05-16,29,72275885,72275885.0,0.0,0.0,62153327.85,17460149.04,25831889.79,5578271.42,6049374.42,2751083.25,3160861.26,1321698.69,49,35,14,57.72,59.01,302497,10122557.15,0.1401,6961695.89,0.0963,6372216.8,0.0882,3,0,1.0,USD
